Gia,Mieu ta,Ngay tao,Tua de
15.500.000,"BánxeWareRSX2013HondachínhchủcủaSĩquanQuânĐộiTôicầnbánmộtchiếcxeWareRSXcủahãngHondamàuđỏ,đời2013xecònkhámới,đượcbảodưỡngthườngxuyên,máyvẫncònrấttốt,chưavađậphaysướtxátgìcácbạncóthểkiểmtratạicửahànghondathoảimái",2nămtrước,B\xe1n xe Ware RSX 2013 Honda ch\xednh ch\u1ee7 c\u1ee7a S\u0129 quan
17.000.000,"*MộtsiêuphẩmấntượngcủaHondaNhậtBản-HondaCrea50cc-XegahộitụđầyđủcácyếutốAnToàn-ThẩmMỹvàTiệnÍch,-Xetayga50ccnhậptrựctiếptừNhật,vivudạophốmàkhôngcầnbằnglái,-Côngnghệđềtừkhôngnghetiếngđộng,máynổêmnhưxeđiện,-Thiếtkếnhỏxinhmangdángvẻcổđiển",2nămtrước,Honda Crea Giorno 50cc - Xe tay ga n\u1ed9i \u0111\u1ecba Nh\u1eadt !
41.000.000,"CầntiềnbángấpxePSđời2008,chínhchủ,xeđẹp,biểnsốTP,HCM,giá41triệu,Liênhệ0909,567,227gặpanhHiếu",2nămtrước,C\u1ea6N TI\u1ec0N B\xc1N G\u1ea4P HONDA PS \u0110\u1edcI 2008
22.500.000,"Dylan150chínhchủ nhậpkhẩumàughixám,biểngánhđẹp8nútĐăngkýchínhchủquậnHoànKiếm,HàNộiXesửdụngđilạihàngngày,máymócnguyênzin,bảodưỡngthaydầuđầyđủ,Xeđượcgiữgìnrấtcẩnthận,đãdánnylon3lớpbảovệxe,cảmbiếnkhóaxechốngtrộmLiênhệ:Hùng091",2nămtrước,B\xe1n Honda Dylan 150 nh\u1eadp kh\u1ea9u m\xe0u ghi x\xe1m
25.000.000," , Chuyên:NhậpkhẩucácloạixeCDBenly50cc;90cc;125cc,từCampuchiavềViệtNam,Đặcbiệt:HondaCDBenLy125ccđượcgọi,*hoàngtửđen*đangbánchạynhấthiệnnay,Màuxe:Trắng,đỏ,,đen,Nămsảnxuất:1997_2002,Lưuý:Tấtcảđềunhậpkhẩunguyênzin,nguyênbảnvàđượclựachọnrấtkỹtrướckhinhậpvềViệtNam",2nămtrước,Honda cd benly 125 nh\u1eadp c\u1ef1c \u0111\u1eb9p gi\xe1 r\u1ebb
18.500.000,"Dokhôngcónhucầusửdụngnêntôicầnbán1chiếcxeWave,Alphađời2016màucam,Xechínhchủđăngkýtháng1/2016,mớiđi,được600kmcònmới99%,Xeđirấtcẩnthận,đãdánnilon,lắpkhóa,càng,v,v…Tôibánđúnggiá18,5triệu,Liênhệ:0935132100(Hà,Nội)",3nămtrước,B\xe1n Honda Wave Alpha 2016 m\xe0u cam c\xf2n m\u1edbi 99%
23.000.000,"BánxeHondaAirbladeviệtnamđãdọnlênfullTháimàucamđen,,máycựcêm,chạymạnhmẽkhônghaoxăng,dànngoàicònmớiđẹplong,lanhkhôngcóvếttrầy,Xechạyrấtlợixăng,bảođảmxemxelà,thíchngay,Cóhìnhthậtbêndưới,=>Giấytờbstpngaychủbao,côngchứngmuabánnênyêntâm",3nămtrước,Honda Airblade 2008 vi\u1ec7t nam d\u1ecdn l\xean full Th\xe1i.
20.500.000,"MìnhmuốnbánxeHondaAirblade110ccmàuđenbiểnhànộinguyênbảnđờichếthườngchânchốngđiện,xehìnhthứcmớivàđẹp,máyêmđikhábốc,giấytờđầyđủcóhồsơgốctiệnchoanhmuavềsangtênđổichủnhanhchóng,giámìnhmuốnbánlà20,5triệu,aimualiênhệmình",2nămtrước,Honda Airblade 110cc ch\u1ebf th\u01b0\u1eddng c\xf3 h\u1ed3 s\u01a1 g\u1ed1c
9.200.000,"CầnbánchiếcHondaSuperCup81/50ccđờiđầu,-Xeđangđi,máymóchoạtđộngtốt,giấytờđầyđủ,-Xeđượcgiữgìncẩnthận,cósửachữalặtvặtnhưngvẫngiữnguyênbảnbanđầu,Giábán:8,400,000đồng,Liênhệ:0913867049Xemxetại:109HoàngSĩKhải-SơnTrà-ĐàNẵng",2nămtrước,B\xe1n chi\u1ebfc Honda Super Cup 81/50cc \u0111\u1eddi \u0111\u1ea7u
11.500.000,"MuốnđổixenênMìnhđangcầnbán1xeHondaWave@màuxanhđờicuối2003,dànáocònđẹp,đầunồichưarớt,máyêm,xecòntốt,cứngcáp,nữđangsửdụng, xemìnhbiểnsốtỉnh:43đànắngchínhchủ,Giấytờokhết Giá11tr5 LH:01678855050 Đ/C:30/24tânquý,ftânquý,quậntânphú,hồchíminh(tânquýcắtvớitânkỳtânquý) ",2nămtrước,"Honda Wave @ m\xe0u xanh \u0111\u1eddi cu\u1ed1i 2003, gi\xe1 11tr5"
8.000.000,"CầnbánxeHondalôicònmới95%, Xedễdàngtháoráp,Giấytờhợplệ,Giá8,000,000đ(Támtriệuđồng),AicầnxinliênhệMr,Sang,ĐT:0962488773,(CoixetạiHoàHiệp-LongHoà-CầnGiờ-TP,HCM),Cámơnquívịđãxemtinnày",2nămtrước,B\xe1n xe Honda l\xf4i th\xe1o r\xe1p d\u1ec5 d\xe0ng
17.000.000,"*MộtsiêuphẩmấntượngcủaHondaNhậtBản-HondaCrea50cc-XegahộitụđầyđủcácyếutốAnToàn-ThẩmMỹvàTiệnÍch,-Xetayga50ccnhậptrựctiếptừNhật,vivudạophốmàkhôngcầnbằnglái,-Côngnghệđềtừkhôngnghetiếngđộng,máynổêmnhưxeđiện,-Thiếtkếnhỏxinhmangdángvẻcổđiển",2nămtrước,Honda Crea 50cc - Xe tay ga cho ch\u1ecb em ph\u1ee5 n\u1eef !!!
16.500.000,"BánxeHondaClickchínhchủ,màuđỏ,biển30Z,nữítđi,bảodưỡngđịnhkỳtạihãng,Giá:16tr500,LH:0982047779,xemxengoaigiờhànhchính",2nămtrước,"B\xe1n xe Honda Click, bi\u1ec3n 30Z, 16tr500 - LH: 0982047779"
150.000,Bánbảovệkétnướchondawinner150Bánchekétwinner150Bánbảovệkétnướcwinner150Bánche kétnướchondawinner150,2nămtrước,B\xe1n b\u1ea3o v\u1ec7 k\xe9t n\u01b0\u1edbc Honda Winner 150
33.800.000,"mìnhcầnbánnhanhchiếcxe hondaairblade125cc2014mớichạyđượchơn9000km,xemàuxám-đen,xecònnguyênzinchưacómộtvếttrầyxước,bọckeonguyêncon,xebaochứnggiấytờsaukhimuabánnhé!aicónhucầuthìliênlạcvớimình,hình1005củaxe,liênhệtrựctiếpchomìnhnhé!xemxetạinhà",2nămtrước,"honda air blade 125CC ch\xednh ch\u1ee7, bi\u1ec3n s\u1ed1 v\u0169ng t\xe0u"
20.000.000,"DưkhôngcầndùngbánchiếcxeHondaLeadmàuvàng,xecòndánkeo,chạyêmru,máymóczintheoxe,Xechạyrấtêm,tiếtkiệmxăng,Xeđời2010,đờimáytốtnhất,Địachỉ:280/9/7đườngTX25,P,ThạnhXuân,Quận12,TP,HCM(đườngvàocầuBaPhụ)Baotestthửthoáimái,Liênhệ:0122,799,7549",1nămtrước,"C\u1ea7n b\xe1n xe Honda Lead zin c\xf2n m\u1edbi, m\xe1y m\xf3c \xeam ru"
22.900.000,"Xeđẹpnhưảnh,nữchạyĐăngký05/2015,oddo8000kmMáymócngonlànhcànhđào,zinall100%BaothợthuyềntestthoảimáiGiaodịchvàxemxetạinhàCầnbánchongườicónhucầusửdụng",1nămtrước,Honda Future fi th\u1eafng \u0111\u0129a 2015 ch\xednh ch\u1ee7 bstp \u0111\u1eb9p keng
39.000.000,"HiệnnaytôiđangcầnbánchiếcxemáyHondanhãnhiệuPs125i,đangsửdụngrấttốt,đẹp,Xemàuđỏđen,đời2007vớigiá39triệu,Liênhệchínhchủ0962,037,222(Thành),Địachỉ:TháiHà,ĐốngĐa,HàNội",3nămtrước,"B\xe1n xe Honda PS 125i \u0111ang s\u1eed d\u1ee5ng t\u1ed1t, \u0111\u1eb9p, gi\xe1 r\u1ebb"
41.000.000,"CầntiềnbángấpxePSđời2008,chínhchủ,xeđẹp,biểnsốTP,HCM,giá41triệu,Liênhệ0909,567,227gặpanhHiếu",2nămtrước,"HONDA PS M\xc0U XANH, CH\xcdNH CH\u1ee6, \u0110\u1edcI 2008, BI\u1ec2N S\u1ed0 TP"
96.000.000,"Donhànhiềuxekhôngchạynênbánbớtnhườnglạiđammêchoaechămsóchaiconvợ…,HONDASH300i(ĐK2008)Xezinchưarớtđầu,vệsinhnồi,thaynhớtmáy+lápthườngxuyên địnhkì1200kmxàinhớtRepsolnhậpkhẩunhaae,lốcgiữachưachẽhaygìhếtnhaae xeđixatốtkobịsôikétnướcnhưmấyxekhác,lápkohú,vỏmichelincònđẹpđenóngánh",2nămtrước,Honda SH 300i (\u0110K 2008) 9 ch\u1ee7 xe \u0111\u1eb9p ch\u01b0a r\u1edbt \u0111\u1ea7u
22.500.000,"CầnbánxemáychínhchủHONDALEAD110CCmàuđỏđẹp,Điđược,24Kkm,Bảodưỡngđịnhkìđềuđặn, ĐăngkíT9/2009,Giábán:22,5triệu,Miễntiếpthợ",3nămtrước,C\u1ea7n b\xe1n xe m\xe1y ch\xednh ch\u1ee7 Honda Lead 110CC m\xe0u \u0111\u1ecf
